# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 47.996, 7.849 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "47.9960901", "lon": "7.8494005", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,1.957
2019-01-01 01:00,2019-01-01 02:00,0,0,0,1.826
2019-01-01 02:00,2019-01-01 03:00,0,0,0,1.680
2019-01-01 03:00,2019-01-01 04:00,0,0,0,1.469
2019-01-01 04:00,2019-01-01 05:00,0,0,0,1.164
2019-01-01 05:00,2019-01-01 06:00,0,0,0,0.659
2019-01-01 06:00,2019-01-01 07:00,0,0,0,0.308
2019-01-01 07:00,2019-01-01 08:00,0,0,0.004,0.513
2019-01-01 08:00,2019-01-01 09:00,15.947,0.002,0.026,0.955
2019-01-01 09:00,2019-01-01 10:00,46.175,0.005,0.058,1.331
2019-01-01 10:00,2019-01-01 11:00,65.331,0.006,0.077,1.668
2019-01-01 11:00,2019-01-01 12:00,61.427,0.005,0.074,1.858
2019-01-01 12:00,2019-01-01 13:00,48.653,0.004,0.062,1.975
2019-01-01 13:00,2019-01-01 14:00,33.607,0.003,0.046,1.902
2019-01-01 14:00,2019-01-01 15:00,14.872,0.002,0.025,1.551
2019-01-01 15:00,2019-01-01 16:00,0,0,0.004,0.797
2019-01-01 16:00,2019-01-01 17:00,0,0,0,0.498
2019-01-01 17:00,2019-01-01 18:00,0,0,0,0.561
2019-01-01 18:00,2019-01-01 19:00,0,0,0,0.710
2019-01-01 19:00,2019-01-01 20:00,0,0,0,0.729
2019-01-01 20:00,2019-01-01 21:00,0,0,0,0.870
2019-01-01 21:00,2019-01-01 22:00,0,0,0,0.911
2019-01-01 22:00,2019-01-01 23:00,0,0,0,0.759
2019-01-01 23:00,2019-01-02 00:00,0,0,0,0.550
2019-01-02 00:00,2019-01-02 01:00,0,0,0,0.313
2019-01-02 01:00,2019-01-02 02:00,0,0,0,-0.067
2019-01-02 02:00,2019-01-02 03:00,0,0,0,-0.301
2019-01-02 03:00,2019-01-02 04:00,0,0,0,-0.608
2019-01-02 04:00,2019-01-02 05:00,0,0,0,-1.066
2019-01-02 05:00,2019-01-02 06:00,0,0,0,-1.167
2019-01-02 06:00,2019-01-02 07:00,0,0,0,-1.371
2019-01-02 07:00,2019-01-02 08:00,1.209,0.002,0.006,-1.598
2019-01-02 08:00,2019-01-02 09:00,50.717,0.018,0.049,-1.296
2019-01-02 09:00,2019-01-02 10:00,192.499,0.104,0.107,-0.498
2019-01-02 10:00,2019-01-02 11:00,301.754,0.195,0.131,0.581
2019-01-02 11:00,2019-01-02 12:00,327.984,0.217,0.137,1.372
2019-01-02 12:00,2019-01-02 13:00,300.008,0.196,0.129,1.673
2019-01-02 13:00,2019-01-02 14:00,224.850,0.140,0.106,1.509
2019-01-02 14:00,2019-01-02 15:00,78.018,0.039,0.057,0.792
2019-01-02 15:00,2019-01-02 16:00,6.224,0.007,0.009,-0.560
2019-01-02 16:00,2019-01-02 17:00,0,0,0,-1.157
2019-01-02 17:00,2019-01-02 18:00,0,0,0,-1.530
