# Renewables.ninja Wind power (Point API) - 47.996, 7.849 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Berlin, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "47.9960901", "lon": "7.8494005", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1000", "height": "80", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,2.049
2019-01-01 01:00,2019-01-01 02:00,2.071
2019-01-01 02:00,2019-01-01 03:00,0.881
2019-01-01 03:00,2019-01-01 04:00,1.458
2019-01-01 04:00,2019-01-01 05:00,5.558
2019-01-01 05:00,2019-01-01 06:00,15.920
2019-01-01 06:00,2019-01-01 07:00,31.527
2019-01-01 07:00,2019-01-01 08:00,51.724
2019-01-01 08:00,2019-01-01 09:00,47.236
2019-01-01 09:00,2019-01-01 10:00,56.665
2019-01-01 10:00,2019-01-01 11:00,63.917
2019-01-01 11:00,2019-01-01 12:00,77.659
2019-01-01 12:00,2019-01-01 13:00,90.785
2019-01-01 13:00,2019-01-01 14:00,94.986
2019-01-01 14:00,2019-01-01 15:00,121.755
2019-01-01 15:00,2019-01-01 16:00,151.997
2019-01-01 16:00,2019-01-01 17:00,171.363
2019-01-01 17:00,2019-01-01 18:00,208.368
2019-01-01 18:00,2019-01-01 19:00,233.818
2019-01-01 19:00,2019-01-01 20:00,251.000
2019-01-01 20:00,2019-01-01 21:00,263.749
2019-01-01 21:00,2019-01-01 22:00,250.970
2019-01-01 22:00,2019-01-01 23:00,253.473
2019-01-01 23:00,2019-01-02 00:00,245.502
2019-01-02 00:00,2019-01-02 01:00,226.456
2019-01-02 01:00,2019-01-02 02:00,240.091
2019-01-02 02:00,2019-01-02 03:00,246.792
2019-01-02 03:00,2019-01-02 04:00,263.787
2019-01-02 04:00,2019-01-02 05:00,242.988
2019-01-02 05:00,2019-01-02 06:00,221.591
2019-01-02 06:00,2019-01-02 07:00,192.437
2019-01-02 07:00,2019-01-02 08:00,184.379
2019-01-02 08:00,2019-01-02 09:00,195.872
2019-01-02 09:00,2019-01-02 10:00,228.968
2019-01-02 10:00,2019-01-02 11:00,358.403
2019-01-02 11:00,2019-01-02 12:00,466.297
2019-01-02 12:00,2019-01-02 13:00,482.096
2019-01-02 13:00,2019-01-02 14:00,456.643
2019-01-02 14:00,2019-01-02 15:00,397.805
2019-01-02 15:00,2019-01-02 16:00,421.594
2019-01-02 16:00,2019-01-02 17:00,409.134
2019-01-02 17:00,2019-01-02 18:00,344.057
2019-01-02 18:00,2019-01-02 19:00,281.210
2019-01-02 19:00,2019-01-02 20:00,220.866
2019-01-02 20:00,2019-01-02 21:00,152.402
2019-01-02 21:00,2019-01-02 22:00,121.129
2019-01-02 22:00,2019-01-02 23:00,101.228
2019-01-02 23:00,2019-01-03 00:00,89.278
2019-01-03 00:00,2019-01-03 01:00,74.300
2019-01-03 01:00,2019-01-03 02:00,67.965
2019-01-03 02:00,2019-01-03 03:00,62.938
2019-01-03 03:00,2019-01-03 04:00,63.706
2019-01-03 04:00,2019-01-03 05:00,52.555
2019-01-03 05:00,2019-01-03 06:00,40.413
2019-01-03 06:00,2019-01-03 07:00,25.799
2019-01-03 07:00,2019-01-03 08:00,14.556
2019-01-03 08:00,2019-01-03 09:00,5.217
2019-01-03 09:00,2019-01-03 10:00,7.518
2019-01-03 10:00,2019-01-03 11:00,28.736
2019-01-03 11:00,2019-01-03 12:00,34.241
2019-01-03 12:00,2019-01-03 13:00,32.547
2019-01-03 13:00,2019-01-03 14:00,40.386
2019-01-03 14:00,2019-01-03 15:00,48.590
2019-01-03 15:00,2019-01-03 16:00,59.227
2019-01-03 16:00,2019-01-03 17:00,87.415
2019-01-03 17:00,2019-01-03 18:00,111.949
2019-01-03 18:00,2019-01-03 19:00,128.142
2019-01-03 19:00,2019-01-03 20:00,133.014
2019-01-03 20:00,2019-01-03 21:00,122.784
2019-01-03 21:00,2019-01-03 22:00,103.605
2019-01-03 22:00,2019-01-03 23:00,94.576
2019-01-03 23:00,2019-01-04 00:00,108.267
2019-01-04 00:00,2019-01-04 01:00,103.878
2019-01-04 01:00,2019-01-04 02:00,92.575
2019-01-04 02:00,2019-01-04 03:00,75.260
2019-01-04 03:00,2019-01-04 04:00,61.086
2019-01-04 04:00,2019-01-04 05:00,48.326
2019-01-04 05:00,2019-01-04 06:00,44.692
2019-01-04 06:00,2019-01-04 07:00,43.378
2019-01-04 07:00,2019-01-04 08:00,49.249
2019-01-04 08:00,2019-01-04 09:00,36.311
2019-01-04 09:00,2019-01-04 10:00,25.342
2019-01-04 10:00,2019-01-04 11:00,15.270
2019-01-04 11:00,2019-01-04 12:00,9.598
2019-01-04 12:00,2019-01-04 13:00,9.135
2019-01-04 13:00,2019-01-04 14:00,18.543
2019-01-04 14:00,2019-01-04 15:00,34.770
2019-01-04 15:00,2019-01-04 16:00,56.553
2019-01-04 16:00,2019-01-04 17:00,87.241
2019-01-04 17:00,2019-01-04 18:00,92.788
2019-01-04 18:00,2019-01-04 19:00,93.401
2019-01-04 19:00,2019-01-04 20:00,79.301
2019-01-04 20:00,2019-01-04 21:00,78.392
2019-01-04 21:00,2019-01-04 22:00,79.039
2019-01-04 22:00,2019-01-04 23:00,83.276
2019-01-04 23:00,2019-01-05 00:00,68.973
2019-01-05 00:00,2019-01-05 01:00,72.680
2019-01-05 01:00,2019-01-05 02:00,70.429
2019-01-05 02:00,2019-01-05 03:00,68.983
2019-01-05 03:00,2019-01-05 04:00,67.741
2019-01-05 04:00,2019-01-05 05:00,94.130
2019-01-05 05:00,2019-01-05 06:00,100.583
2019-01-05 06:00,2019-01-05 07:00,119.086
2019-01-05 07:00,2019-01-05 08:00,136.655
2019-01-05 08:00,2019-01-05 09:00,137.587
2019-01-05 09:00,2019-01-05 10:00,178.300
2019-01-05 10:00,2019-01-05 11:00,192.836
2019-01-05 11:00,2019-01-05 12:00,215.765
2019-01-05 12:00,2019-01-05 13:00,220.778
2019-01-05 13:00,2019-01-05 14:00,208.144
2019-01-05 14:00,2019-01-05 15:00,203.653
2019-01-05 15:00,2019-01-05 16:00,238.484
2019-01-05 16:00,2019-01-05 17:00,248.468
2019-01-05 17:00,2019-01-05 18:00,283.272
2019-01-05 18:00,2019-01-05 19:00,299.176
2019-01-05 19:00,2019-01-05 20:00,277.093
2019-01-05 20:00,2019-01-05 21:00,266.553
2019-01-05 21:00,2019-01-05 22:00,261.390
2019-01-05 22:00,2019-01-05 23:00,253.432
2019-01-05 23:00,2019-01-06 00:00,253.594
2019-01-06 00:00,2019-01-06 01:00,245.232
2019-01-06 01:00,2019-01-06 02:00,241.710
2019-01-06 02:00,2019-01-06 03:00,245.124
2019-01-06 03:00,2019-01-06 04:00,240.763
2019-01-06 04:00,2019-01-06 05:00,233.719
2019-01-06 05:00,2019-01-06 06:00,203.077
2019-01-06 06:00,2019-01-06 07:00,156.433
2019-01-06 07:00,2019-01-06 08:00,135.488
2019-01-06 08:00,2019-01-06 09:00,108.283
2019-01-06 09:00,2019-01-06 10:00,116.993
2019-01-06 10:00,2019-01-06 11:00,132.306
2019-01-06 11:00,2019-01-06 12:00,132.976
2019-01-06 12:00,2019-01-06 13:00,125.821
2019-01-06 13:00,2019-01-06 14:00,113.081
2019-01-06 14:00,2019-01-06 15:00,119.022
2019-01-06 15:00,2019-01-06 16:00,133.163
2019-01-06 16:00,2019-01-06 17:00,134.177
2019-01-06 17:00,2019-01-06 18:00,125.243
2019-01-06 18:00,2019-01-06 19:00,117.822
2019-01-06 19:00,2019-01-06 20:00,110.668
2019-01-06 20:00,2019-01-06 21:00,94.378
2019-01-06 21:00,2019-01-06 22:00,82.113
2019-01-06 22:00,2019-01-06 23:00,68.092
2019-01-06 23:00,2019-01-07 00:00,57.121
2019-01-07 00:00,2019-01-07 01:00,48.161
2019-01-07 01:00,2019-01-07 02:00,43.391
2019-01-07 02:00,2019-01-07 03:00,37.117
2019-01-07 03:00,2019-01-07 04:00,34.639
2019-01-07 04:00,2019-01-07 05:00,33.818
2019-01-07 05:00,2019-01-07 06:00,39.484
2019-01-07 06:00,2019-01-07 07:00,40.053
2019-01-07 07:00,2019-01-07 08:00,28.423
2019-01-07 08:00,2019-01-07 09:00,19.468
2019-01-07 09:00,2019-01-07 10:00,18.369
2019-01-07 10:00,2019-01-07 11:00,28.235
2019-01-07 11:00,2019-01-07 12:00,35.165
2019-01-07 12:00,2019-01-07 13:00,40.984
2019-01-07 13:00,2019-01-07 14:00,39.506
2019-01-07 14:00,2019-01-07 15:00,37.790
2019-01-07 15:00,2019-01-07 16:00,50.757
2019-01-07 16:00,2019-01-07 17:00,71.879
2019-01-07 17:00,2019-01-07 18:00,102.099
2019-01-07 18:00,2019-01-07 19:00,117.685
2019-01-07 19:00,2019-01-07 20:00,134.663
2019-01-07 20:00,2019-01-07 21:00,171.767
2019-01-07 21:00,2019-01-07 22:00,213.645
2019-01-07 22:00,2019-01-07 23:00,222.575
2019-01-07 23:00,2019-01-08 00:00,237.862
2019-01-08 00:00,2019-01-08 01:00,259.094
2019-01-08 01:00,2019-01-08 02:00,291.317
2019-01-08 02:00,2019-01-08 03:00,361.683
2019-01-08 03:00,2019-01-08 04:00,526.710
